Protocol,Seed,nNodes,nFlows,MaxPaths,InitEnergy_J,PktInterval_s,PDR,Throughput_kbps,Delay_ms,Jitter_ms,TxPkts,RxPkts,CtrlBytes,NRL,EnergyConsumed_J,EnergyPerPkt_J,LiveNodes
AODV,1,20,19,3,50.000000,1.000000,0.933370,3.901642,20.159520,22.085471,3677,3432,99956,5.393465,721.673727,0.210278,20
AODV,3,20,19,3,50.000000,1.000000,0.778080,3.252505,135.860823,69.037896,3677,2861,79300,5.132885,720.895813,0.251973,20
AODV,2,20,19,3,50.000000,1.000000,0.214577,0.946800,101.411381,101.266644,3677,789,178418,41.876262,722.255209,0.915406,20
AODV,5,20,19,3,50.000000,1.000000,0.663312,2.772758,62.700976,28.578586,3677,2439,35184,2.671404,720.942767,0.295589,20
AODV,4,20,19,3,50.000000,1.000000,0.936361,3.914147,35.978402,23.167463,3677,3443,61496,3.307624,720.674038,0.209316,20
AODV,6,20,19,3,50.000000,1.000000,0.646723,2.703411,66.620419,41.428850,3677,2378,80210,6.246301,721.108392,0.303242,20
AODV,9,20,19,3,50.000000,1.000000,0.780528,3.262737,14.978760,18.399450,3677,2870,40868,2.636985,720.893758,0.251182,20
AODV,8,20,19,3,50.000000,1.000000,0.847974,3.544674,8.634677,8.214522,3677,3118,45122,2.679899,720.630900,0.231120,20
AODV,7,20,19,3,50.000000,1.000000,0.864835,3.615158,26.235591,28.736025,3677,3180,131556,7.661076,721.897356,0.227012,20
AODV,11,20,19,3,50.000000,1.000000,0.474300,2.215906,8.403958,6.524598,3677,1744,55462,5.889186,720.555319,0.413162,20
AODV,10,20,19,3,50.000000,1.000000,0.850694,3.556042,48.626073,30.942088,3677,3128,229168,13.567301,722.396688,0.230945,20
AODV,13,20,19,3,50.000000,1.000000,0.420451,1.964329,8.120765,6.273929,3677,1546,45500,5.450146,720.399449,0.465976,20
AODV,12,20,19,3,50.000000,1.000000,0.937721,3.919832,28.174094,27.407905,3677,3448,119436,6.414669,721.353629,0.209209,20
AODV,14,20,19,3,50.000000,1.000000,0.926571,3.873221,13.632279,13.291550,3677,3407,53850,2.926980,721.170834,0.211673,20
AODV,16,20,19,3,50.000000,1.000000,0.465325,2.053200,6.032395,5.564116,3677,1711,65804,7.122107,720.260756,0.420959,20
AODV,15,20,19,3,50.000000,1.000000,0.806092,3.369600,29.047116,18.726980,3677,2964,74722,4.668491,721.036203,0.243265,20
AODV,18,20,19,3,50.000000,1.000000,0.925483,3.868674,61.470009,45.576159,3677,3403,82596,4.494727,721.216835,0.211936,20
AODV,17,20,19,3,50.000000,1.000000,0.925483,3.868674,23.333772,22.409812,3677,3403,75586,4.113255,721.562493,0.212037,20
AODV,19,20,19,3,50.000000,1.000000,0.940984,3.933474,9.609689,7.676259,3677,3460,94484,5.056947,721.425205,0.208504,20
AODV,20,20,19,3,50.000000,1.000000,0.509383,2.129305,13.716906,12.752593,3677,1873,94316,9.325107,720.776713,0.384825,20
AODV,21,20,19,3,50.000000,1.000000,0.909437,3.801600,11.941790,12.479920,3677,3344,112870,6.250554,720.752765,0.215536,20
AODV,22,20,19,3,50.000000,1.000000,0.761490,3.183158,87.734784,52.470739,3677,2800,115170,7.617063,721.877223,0.257813,20
AODV,23,20,19,3,50.000000,1.000000,0.809899,3.385516,20.342897,17.030634,3677,2978,103690,6.447902,721.802579,0.242378,20
AODV,24,20,19,3,50.000000,1.000000,0.822953,3.440084,15.522541,15.488689,3677,3026,71424,4.371007,720.822769,0.238210,20
AODV,25,20,19,3,50.000000,1.000000,0.895567,3.743621,35.746917,30.626873,3677,3293,110154,6.194622,720.763612,0.218878,20
AODV,27,20,19,3,50.000000,1.000000,0.826217,3.453726,7.944070,6.261381,3677,3038,49460,3.014898,721.199517,0.237393,20
AODV,26,20,19,3,50.000000,1.000000,0.572478,2.393053,15.555898,17.848630,3677,2105,105450,9.276854,721.168149,0.342598,20
AODV,29,20,19,3,50.000000,1.000000,0.906989,3.791368,14.083450,14.863774,3677,3335,77094,4.280860,720.753458,0.216118,20
AODV,30,20,19,3,50.000000,1.000000,0.680990,2.846653,71.535080,44.802337,3677,2504,70604,5.221571,720.830060,0.287871,20
AODV,28,20,19,3,50.000000,1.000000,0.854501,3.571958,27.566326,30.126208,3677,3142,165094,9.730415,722.050438,0.229806,20
PMAODV,1,20,19,3,50.000000,1.000000,0.925483,3.868674,19.148400,19.633783,3677,3403,107356,5.842122,721.838680,0.212118,20
