Protocol,Seed,nNodes,nFlows,MaxPaths,InitEnergy_J,PktInterval_s,PDR,Throughput_kbps,Delay_ms,Jitter_ms,TxPkts,RxPkts,CtrlBytes,NRL,EnergyConsumed_J,EnergyPerPkt_J,LiveNodes
AODV,1,20,19,3,1.000000,0.250000,0.805233,13.540926,38.196360,17.798508,14792,11911,424094,6.593563,14.612550,0.001227,20
AODV,2,20,19,3,1.000000,0.250000,0.270754,4.553053,241.926433,106.314523,14792,4005,1551398,71.734314,14.600627,0.003646,20
AODV,4,20,19,3,1.000000,0.250000,0.938210,15.777095,25.198436,11.928264,14792,13878,121052,1.615293,14.642822,0.001055,20
AODV,3,20,19,3,1.000000,0.250000,0.737831,12.407495,35.326410,22.226778,14792,10914,1378914,23.396962,14.649438,0.001342,20
AODV,5,20,19,3,1.000000,0.250000,0.587953,10.436400,36.292613,8.925329,14792,8697,74502,1.586371,14.640881,0.001683,20
AODV,6,20,19,3,1.000000,0.250000,0.797120,13.404505,38.746537,16.078389,14792,11791,235340,3.696165,14.608365,0.001239,20
AODV,8,20,19,3,1.000000,0.250000,0.774202,13.019116,6.070390,4.245848,14792,11452,70710,1.143420,14.598233,0.001275,20
AODV,7,20,19,3,1.000000,0.250000,0.752975,12.662147,37.922519,23.223393,14792,11138,617396,10.265092,14.623763,0.001313,20
AODV,9,20,19,3,1.000000,0.250000,0.841333,14.148000,8.465021,5.413919,14792,12445,71280,1.060667,14.599610,0.001173,20
AODV,11,20,19,3,1.000000,0.250000,0.427055,8.026306,14.215585,9.561053,14792,6317,64054,1.877767,14.626617,0.002315,20
AODV,12,20,19,3,1.000000,0.250000,0.556111,9.351663,7.647070,5.301439,14792,8226,94804,2.134245,14.613791,0.001777,20
AODV,13,20,19,3,1.000000,0.250000,0.384667,7.229647,8.066850,5.491623,14792,5690,66638,2.168782,14.645916,0.002574,20
AODV,10,20,19,3,1.000000,0.250000,0.531977,8.945811,35.753342,26.286639,14792,7869,1554280,36.577663,14.624484,0.001858,20
AODV,14,20,19,3,1.000000,0.250000,0.880408,14.805095,9.975066,7.029582,14792,13023,79732,1.133778,14.632371,0.001124,20
