Protocol,Seed,nNodes,nFlows,MaxPaths,InitEnergy_J,PktInterval_s,PDR,Throughput_kbps,Delay_ms,Jitter_ms,TxPkts,RxPkts,CtrlBytes,NRL,EnergyConsumed_J,EnergyPerPkt_J,LiveNodes
AODV,1,20,19,3,50.0,0.05,0.14814,12.474568,307.875113,89.359593,74072,10973,3187504,53.793723,744.577812,0.067855,20
AODV,2,20,19,3,50.0,0.05,0.181445,15.279158,272.796494,90.581461,74072,13440,3115932,42.933366,740.128936,0.055069,20
AODV,3,20,19,3,50.0,0.05,0.213994,18.020084,260.285465,81.439616,74072,15851,2864424,33.464696,745.071515,0.047005,20
AODV,4,20,19,3,50.0,0.05,0.226887,19.105768,274.684613,89.679403,74072,16806,3086770,34.013095,744.099885,0.044276,20
AODV,5,20,19,3,50.0,0.05,0.260422,21.929684,272.092711,77.74425,74072,19290,3089922,29.663441,737.529784,0.038234,20
AODV,6,20,19,3,50.0,0.05,0.234569,19.752632,232.829419,79.637078,74072,17375,2709662,28.879957,742.371401,0.042726,20
AODV,7,20,19,3,50.0,0.05,0.216452,18.226989,225.336855,53.790041,74072,16033,2416776,27.914371,742.550762,0.046314,20
AODV,8,20,19,3,50.0,0.05,0.184105,15.503116,159.107916,54.937635,74072,13637,2571022,34.913484,737.698627,0.054095,20
AODV,9,20,19,3,50.0,0.05,0.207217,17.449389,289.528053,99.967982,74072,15349,2843610,34.308062,745.403093,0.048564,20
AODV,10,20,19,3,50.0,0.05,0.193433,16.288674,252.715041,90.913815,74072,14328,2675832,34.584341,743.619308,0.0519,20
AODV,11,20,19,3,50.0,0.05,0.207852,17.502821,129.482773,44.681117,74072,15396,2527296,30.398661,744.96559,0.048387,20
AODV,12,20,19,3,50.0,0.05,0.248798,20.950863,231.842502,73.941093,74072,18429,3196754,32.122822,747.425682,0.040557,20
AODV,13,20,19,3,50.0,0.05,0.226631,19.084168,243.459047,76.762813,74072,16787,3100616,34.204334,745.729635,0.044423,20
AODV,14,20,19,3,50.0,0.05,0.19018,16.014695,203.05086,65.639508,74072,14087,3126324,41.098097,744.84783,0.052875,20
AODV,15,20,19,3,50.0,0.05,0.269333,22.68,250.73699,69.367149,74072,19950,2636550,24.473684,744.282886,0.037307,20
AODV,16,20,19,3,50.0,0.05,0.210376,17.715411,186.827873,65.25152,74072,15583,3071330,36.499058,744.74411,0.047792,20
AODV,17,20,19,3,50.0,0.05,0.180635,15.210947,327.418417,98.008496,74072,13380,3149212,43.586503,743.035842,0.055533,20
AODV,18,20,19,3,50.0,0.05,0.245869,20.704168,220.25204,69.648968,74072,18212,2826274,28.738418,741.600775,0.04072,20
AODV,19,20,19,3,50.0,0.05,0.239024,20.127789,145.827947,55.700475,74072,17705,2480598,25.945778,739.977574,0.041795,20
AODV,20,20,19,3,50.0,0.05,0.15898,13.387453,291.673098,87.401628,74072,11776,2681294,42.165075,740.926304,0.062918,20
AODV,21,20,19,3,50.0,0.05,0.211065,17.773389,287.568748,85.67087,74072,15634,3306648,39.167342,746.500787,0.047749,20
AODV,22,20,19,3,50.0,0.05,0.193433,16.288674,241.92589,74.951312,74072,14328,3245756,41.950442,746.251692,0.052083,20
AODV,23,20,19,3,50.0,0.05,0.172427,14.519747,173.564463,73.142273,74072,12772,2611784,37.869065,743.408606,0.058206,20
