Protocol,Seed,nNodes,nFlows,MaxPaths,InitEnergy_J,PktInterval_s,PDR,Throughput_kbps,Delay_ms,Jitter_ms,TxPkts,RxPkts,CtrlBytes,NRL,EnergyConsumed_J,EnergyPerPkt_J,LiveNodes
AODV,1,5,4,3,50.0,0.25,0.294929,4.9626,640.764651,78.871617,3116,919,2432,0.490066,179.787272,0.195634,5
AODV,2,5,4,3,50.0,0.25,0.382221,6.4314,940.840787,106.521213,3116,1191,1600,0.248779,179.927012,0.151072,5
AODV,3,5,4,3,50.0,0.25,0.531451,8.9424,334.772931,53.96249,3116,1656,4506,0.503892,179.966115,0.108675,5
AODV,4,5,4,3,50.0,0.25,0.373235,6.2802,554.171644,72.920534,3116,1163,3000,0.477692,179.917305,0.154701,5
AODV,5,5,4,3,50.0,0.25,0.371309,6.2478,170.574182,29.978625,3116,1157,1736,0.277858,180.024061,0.155596,5
AODV,6,5,4,3,50.0,0.25,0.20475,3.4452,593.41517,134.930305,3116,638,2372,0.688494,179.790216,0.281803,5
AODV,7,5,4,3,50.0,0.25,0.362644,6.102,730.20452,106.070129,3116,1130,2844,0.466077,179.900666,0.159204,5
AODV,8,5,4,3,50.0,0.25,0.279846,4.7088,271.738141,39.168306,3116,872,966,0.205148,179.86476,0.206267,5
AODV,9,5,4,3,50.0,0.25,0.281772,4.7412,957.081302,120.364344,3116,878,2166,0.456846,179.851973,0.204843,5
AODV,10,5,4,3,50.0,0.25,0.318357,5.3568,599.286986,130.490593,3116,992,622,0.116114,179.963007,0.181414,5
AODV,11,5,4,3,50.0,0.25,0.444159,7.4736,1019.077157,130.39624,3116,1384,4298,0.575091,179.911082,0.129994,5
AODV,12,5,4,3,50.0,0.25,0.399872,6.7284,886.773457,101.051029,3116,1246,3604,0.53564,179.791064,0.144295,5
AODV,13,5,4,3,50.0,0.25,0.457317,7.695,511.293981,82.384622,3116,1425,2062,0.267966,179.915606,0.126257,5
AODV,14,5,4,3,50.0,0.25,0.416239,7.0038,690.955649,110.581407,3116,1297,2594,0.37037,179.897551,0.138703,5
AODV,15,5,4,3,50.0,0.25,0.577022,9.7092,178.810819,41.504953,3116,1798,2292,0.236065,179.947589,0.100082,5
AODV,16,5,4,3,50.0,0.25,0.457317,7.695,708.766681,103.704681,3116,1425,1930,0.250812,180.002802,0.126318,5
AODV,17,5,4,3,50.0,0.25,0.382221,6.4314,939.082735,129.440153,3116,1191,2948,0.458376,179.912268,0.15106,5
