Protocol,Seed,nNodes,nFlows,MaxPaths,InitEnergy_J,PktInterval_s,PDR,Throughput_kbps,Delay_ms,Jitter_ms,TxPkts,RxPkts,CtrlBytes,NRL,EnergyConsumed_J,EnergyPerPkt_J,LiveNodes
AODV,1,20,19,3,50.000000,0.250000,0.805233,13.540926,38.196360,17.798508,14792,11911,424094,6.593563,727.446053,0.061073,20
AODV,2,20,19,3,50.000000,0.250000,0.270754,4.553053,241.926433,106.314523,14792,4005,1551398,71.734314,735.784734,0.183717,20
AODV,3,20,19,3,50.000000,0.250000,0.737831,12.407495,35.326410,22.226778,14792,10914,1378914,23.396962,726.034626,0.066523,20
AODV,4,20,19,3,50.000000,0.250000,0.938210,15.777095,25.198436,11.928264,14792,13878,121052,1.615293,724.411900,0.052199,20
AODV,5,20,19,3,50.000000,0.250000,0.587953,10.436400,36.292613,8.925329,14792,8697,74502,1.586371,722.118829,0.083031,20
AODV,6,20,19,3,50.000000,0.250000,0.797120,13.404505,38.746537,16.078389,14792,11791,235340,3.696165,724.820842,0.061472,20
AODV,7,20,19,3,50.000000,0.250000,0.752975,12.662147,37.922519,23.223393,14792,11138,617396,10.265092,732.198311,0.065739,20
AODV,8,20,19,3,50.000000,0.250000,0.774202,13.019116,6.070390,4.245848,14792,11452,70710,1.143420,722.819765,0.063117,20
AODV,9,20,19,3,50.000000,0.250000,0.841333,14.148000,8.465021,5.413919,14792,12445,71280,1.060667,725.414732,0.058290,20
AODV,10,20,19,3,50.000000,0.250000,0.531977,8.945811,35.753342,26.286639,14792,7869,1554280,36.577663,740.925784,0.094158,20
AODV,11,20,19,3,50.000000,0.250000,0.427055,8.026306,14.215585,9.561053,14792,6317,64054,1.877767,723.964965,0.114606,20
AODV,12,20,19,3,50.000000,0.250000,0.556111,9.351663,7.647070,5.301439,14792,8226,94804,2.134245,725.973030,0.088253,20
AODV,13,20,19,3,50.000000,0.250000,0.384667,7.229647,8.066850,5.491623,14792,5690,66638,2.168782,723.216015,0.127103,20
AODV,14,20,19,3,50.000000,0.250000,0.880408,14.805095,9.975066,7.029582,14792,13023,79732,1.133778,724.699902,0.055648,20
AODV,15,20,19,3,50.000000,0.250000,0.719037,12.091453,26.439808,13.445434,14792,10636,195744,3.408132,725.663068,0.068227,20
AODV,16,20,19,3,50.000000,0.250000,0.482017,8.105684,16.886920,7.946278,14792,7130,492650,12.795439,723.758743,0.101509,20
AODV,17,20,19,3,50.000000,0.250000,0.923134,15.523579,14.278057,7.646622,14792,13655,144374,1.957959,728.097676,0.053321,20
AODV,18,20,19,3,50.000000,0.250000,0.882504,14.840337,34.743510,9.476366,14792,13054,171928,2.438986,726.602129,0.055661,20
AODV,19,20,19,3,50.000000,0.250000,0.588291,9.892800,28.055882,19.509705,14792,8702,779126,16.580394,728.227647,0.083685,20
AODV,20,20,19,3,50.000000,0.250000,0.432802,8.134306,5.988340,3.458752,14792,6402,104150,3.012658,723.326125,0.112984,20
AODV,21,20,19,3,50.000000,0.250000,0.701460,11.795874,7.672632,5.630779,14792,10376,149428,2.666909,724.564250,0.069831,20
AODV,22,20,19,3,50.000000,0.250000,0.678880,11.416168,95.091383,30.762861,14792,10042,727470,13.415322,727.975589,0.072493,20
