Protocol,Seed,nNodes,nFlows,MaxPaths,InitEnergy_J,PktInterval_s,PDR,Throughput_kbps,Delay_ms,Jitter_ms,TxPkts,RxPkts,CtrlBytes,NRL,EnergyConsumed_J,EnergyPerPkt_J,LiveNodes
QS2MAODV,1,20,19,3,50.000000,0.100000,0.218870,9.211832,316.250730,133.696094,37022,8103,3204646,73.238672,738.109295,0.091091,20
QS2MAODV,2,20,19,3,50.000000,0.100000,0.283372,11.926611,139.230459,66.363803,37022,10491,2425694,42.817900,736.765371,0.070228,20
QS2MAODV,3,20,19,3,50.000000,0.100000,0.313192,13.181684,166.288318,85.770751,37022,11595,2627612,41.965918,739.848370,0.063808,20
QS2MAODV,4,20,19,3,50.000000,0.100000,0.370644,15.599747,112.659528,62.383217,37022,13722,2491308,33.621435,741.301374,0.054023,20
QS2MAODV,5,20,19,3,50.000000,0.100000,0.469559,19.762863,155.768679,49.570197,37022,17384,1813064,19.313886,733.194407,0.042176,20
QS2MAODV,6,20,19,3,50.000000,0.100000,0.311544,13.112337,167.006250,91.580126,37022,11534,2809956,45.115504,736.784285,0.063879,20
QS2MAODV,7,20,19,3,50.000000,0.100000,0.355626,14.967663,189.078272,83.980026,37022,13166,2678086,37.668377,739.939317,0.056201,20
QS2MAODV,8,20,19,3,50.000000,0.100000,0.314057,13.218063,346.632494,71.583232,37022,11627,2420732,38.555406,728.764786,0.062679,20
QS2MAODV,9,20,19,3,50.000000,0.100000,0.294203,12.382484,90.193209,46.404885,37022,10892,1530592,26.023041,736.244053,0.067595,20
QS2MAODV,10,20,19,3,50.000000,0.100000,0.303198,12.761053,234.843028,109.488731,37022,11225,2775568,45.790118,736.816808,0.065641,20
QS2MAODV,11,20,19,3,50.000000,0.100000,0.259413,10.918232,132.278706,64.313490,37022,9604,2591500,49.969534,739.032401,0.076950,20
QS2MAODV,12,20,19,3,50.000000,0.100000,0.371104,15.619074,136.348488,67.042954,37022,13739,2684962,36.190056,730.780800,0.053190,20
QS2MAODV,13,20,19,3,50.000000,0.100000,0.404543,17.026484,117.703271,55.112434,37022,14977,1938520,23.969098,732.765927,0.048926,20
QS2MAODV,14,20,19,3,50.000000,0.100000,0.365783,15.395116,118.632329,37.114098,37022,13542,1245500,17.032059,729.536020,0.053872,20
QS2MAODV,15,20,19,3,50.000000,0.100000,0.373075,15.702063,290.433747,88.640475,37022,13812,2489950,33.384148,737.099586,0.053367,20
QS2MAODV,16,20,19,3,50.000000,0.100000,0.363568,15.301895,102.447822,52.575491,37022,13460,2118700,29.149469,729.181889,0.054174,20
QS2MAODV,17,20,19,3,50.000000,0.100000,0.267760,11.269516,297.979752,127.965729,37022,9913,3173124,59.277268,738.657782,0.074514,20
QS2MAODV,18,20,19,3,50.000000,0.100000,0.404624,17.029895,158.327864,68.388293,37022,14980,2421560,29.935717,734.175200,0.049010,20
QS2MAODV,19,20,19,3,50.000000,0.100000,0.377883,16.788000,32.986497,18.419269,37022,13990,999264,13.227226,734.379288,0.052493,20
QS2MAODV,20,20,19,3,50.000000,0.100000,0.231214,9.731368,386.835331,130.316593,37022,8560,3010084,65.119505,741.878366,0.086668,20
QS2MAODV,21,20,19,3,50.000000,0.100000,0.318027,13.385179,220.010112,83.166772,37022,11774,2893074,45.503180,734.605357,0.062392,20
QS2MAODV,22,20,19,3,50.000000,0.100000,0.301064,12.671242,175.268079,69.733976,37022,11146,2468928,41.019997,735.855696,0.066020,20
QS2MAODV,23,20,19,3,50.000000,0.100000,0.256037,10.776126,190.511356,93.691266,37022,9479,3248608,63.465985,742.373881,0.078318,20
QS2MAODV,24,20,19,3,50.000000,0.100000,0.381287,16.047663,175.206666,62.852794,37022,14116,2156874,28.295630,735.598378,0.052111,20
QS2MAODV,25,20,19,3,50.000000,0.100000,0.352574,14.839200,131.324808,63.661433,37022,13053,2533590,35.944483,739.908151,0.056685,20
QS2MAODV,26,20,19,3,50.000000,0.100000,0.327832,13.797853,150.247698,77.619448,37022,12137,2815176,42.953686,734.669803,0.060531,20
QS2MAODV,27,20,19,3,50.000000,0.100000,0.318729,13.414737,220.195525,98.988121,37022,11800,3357352,52.689140,738.160664,0.062556,20
QS2MAODV,28,20,19,3,50.000000,0.100000,0.311328,13.103242,332.400585,107.824918,37022,11526,2864818,46.028271,739.031307,0.064119,20
QS2MAODV,29,20,19,3,50.000000,0.100000,0.447518,18.835200,166.359416,54.990246,37022,16568,1864978,20.845382,733.524388,0.044274,20
QS2MAODV,30,20,19,3,50.000000,0.100000,0.415672,17.494863,85.856200,39.074030,37022,15389,1518808,18.276739,728.383076,0.047331,20
QS2MAODV,1,20,19,3,50.000000,0.100000,0.227973,9.594947,359.693116,134.967323,37022,8440,3201512,70.245568,738.109295,0.087454,20
QS2MAODV,2,20,19,3,50.000000,0.100000,0.283372,11.926611,139.230459,66.363803,37022,10491,2425694,42.817900,736.765371,0.070228,20
QS2MAODV,3,20,19,3,50.000000,0.100000,0.313192,13.181684,166.288318,85.770751,37022,11595,2627612,41.965918,739.848370,0.063808,20
QS2MAODV,4,20,19,3,50.000000,0.100000,0.296391,12.474568,219.411441,117.378904,37022,10973,3086760,52.093522,741.833180,0.067605,20
QS2MAODV,5,20,19,3,50.000000,0.100000,0.436335,18.364547,161.751961,50.681621,37022,16154,1818664,20.848683,733.194407,0.045388,20
QS2MAODV,6,20,19,3,50.000000,0.100000,0.314570,13.239663,131.693807,67.464424,37022,11646,2376464,37.788591,736.784285,0.063265,20
QS2MAODV,7,20,19,3,50.000000,0.100000,0.349954,14.728926,193.103199,71.691707,37022,12956,2440940,34.889312,739.939317,0.057112,20
QS2MAODV,8,20,19,3,50.000000,0.100000,0.314057,13.218063,346.632494,71.583232,37022,11627,2420732,38.555406,728.764786,0.062679,20
QS2MAODV,9,20,19,3,50.000000,0.100000,0.294203,12.382484,90.193209,46.404885,37022,10892,1530592,26.023041,736.244053,0.067595,20
QS2MAODV,10,20,19,3,50.000000,0.100000,0.309573,13.029347,233.830581,103.872593,37022,11461,2685452,43.391146,735.457266,0.064170,20
QS2MAODV,11,20,19,3,50.000000,0.100000,0.259413,10.918232,132.278706,64.313490,37022,9604,2591500,49.969534,739.032401,0.076950,20
QS2MAODV,12,20,19,3,50.000000,0.100000,0.378883,15.946484,134.006676,71.726638,37022,14027,2734210,36.097183,730.780800,0.052098,20
QS2MAODV,13,20,19,3,50.000000,0.100000,0.392550,16.521726,119.367341,56.960217,37022,14533,1965208,25.041451,732.765927,0.050421,20
QS2MAODV,14,20,19,3,50.000000,0.100000,0.365783,15.395116,118.632329,37.114098,37022,13542,1245500,17.032059,729.536020,0.053872,20
QS2MAODV,15,20,19,3,50.000000,0.100000,0.373075,15.702063,290.433747,88.640475,37022,13812,2489950,33.384148,737.099586,0.053367,20
QS2MAODV,16,20,19,3,50.000000,0.100000,0.363568,15.301895,102.447822,52.575491,37022,13460,2118700,29.149469,729.181889,0.054174,20
QS2MAODV,17,20,19,3,50.000000,0.100000,0.257928,10.855705,278.886873,133.019075,37022,9549,3291064,63.824096,738.657782,0.077354,20
QS2MAODV,18,20,19,3,50.000000,0.100000,0.408919,17.210653,163.873549,67.895886,37022,15139,2242216,27.427517,734.175200,0.048496,20
QS2MAODV,19,20,19,3,50.000000,0.100000,0.377883,16.788000,32.986497,18.419269,37022,13990,999264,13.227226,734.379288,0.052493,20
QS2MAODV,20,20,19,3,50.000000,0.100000,0.239857,10.095158,340.310267,106.203800,37022,8880,2791668,58.217968,741.878366,0.083545,20
QS2MAODV,21,20,19,3,50.000000,0.100000,0.327265,13.773979,208.765972,81.588207,37022,12116,2906548,44.424697,734.605357,0.060631,20
QS2MAODV,22,20,19,3,50.000000,0.100000,0.299768,12.616674,277.061106,64.478095,37022,11098,2398550,40.023061,735.855696,0.066305,20
QS2MAODV,23,20,19,3,50.000000,0.100000,0.256037,10.776126,190.511356,93.691266,37022,9479,3248608,63.465985,742.373881,0.078318,20
QS2MAODV,24,20,19,3,50.000000,0.100000,0.369834,15.565642,123.272406,57.314213,37022,13692,2045060,27.659569,735.598378,0.053725,20
QS2MAODV,25,20,19,3,50.000000,0.100000,0.352574,14.839200,131.324808,63.661433,37022,13053,2533590,35.944483,739.908151,0.056685,20
QS2MAODV,26,20,19,3,50.000000,0.100000,0.335422,14.117305,128.405910,69.935066,37022,12418,2781006,41.472146,734.669803,0.059162,20
QS2MAODV,27,20,19,3,50.000000,0.100000,0.318729,13.414737,220.195525,98.988121,37022,11800,3357352,52.689140,738.160664,0.062556,20
QS2MAODV,28,20,19,3,50.000000,0.100000,0.311328,13.103242,332.400585,107.824918,37022,11526,2864818,46.028271,739.031307,0.064119,20
QS2MAODV,29,20,19,3,50.000000,0.100000,0.444168,18.694232,173.535815,55.975030,37022,16444,1861944,20.968405,733.524388,0.044607,20
QS2MAODV,30,20,19,3,50.000000,0.100000,0.415672,17.494863,85.856200,39.074030,37022,15389,1518808,18.276739,728.383076,0.047331,20
QS2MAODV,1,20,19,3,50.000000,0.100000,0.224677,9.456253,267.926692,124.129647,37022,8318,3157322,70.292048,738.109295,0.088736,20
QS2MAODV,2,20,19,3,50.000000,0.100000,0.287640,12.106232,154.369997,82.224485,37022,10649,3231886,56.202217,736.661266,0.069177,20
QS2MAODV,3,20,19,3,50.000000,0.100000,0.313192,13.181684,166.288318,85.770751,37022,11595,2627612,41.965918,739.848370,0.063808,20
QS2MAODV,4,20,19,3,50.000000,0.100000,0.296391,12.474568,219.411441,117.378904,37022,10973,3086760,52.093522,741.833180,0.067605,20
QS2MAODV,5,20,19,3,50.000000,0.100000,0.438577,18.458905,159.146555,49.757229,37022,16237,1794974,20.471922,733.194407,0.045156,20
QS2MAODV,6,20,19,3,50.000000,0.100000,0.316271,13.311284,100.147054,57.754760,37022,11709,1989148,31.459624,736.784285,0.062925,20
QS2MAODV,7,20,19,3,50.000000,0.100000,0.349954,14.728926,193.103199,71.691707,37022,12956,2440940,34.889312,739.939317,0.057112,20
QS2MAODV,8,20,19,3,50.000000,0.100000,0.314057,13.218063,346.632494,71.583232,37022,11627,2420732,38.555406,728.764786,0.062679,20
QS2MAODV,9,20,19,3,50.000000,0.100000,0.294203,12.382484,90.193209,46.404885,37022,10892,1530592,26.023041,736.244053,0.067595,20
QS2MAODV,10,20,19,3,50.000000,0.100000,0.325941,13.718274,242.629595,98.663562,37022,12067,2477728,38.024241,735.457266,0.060948,20
QS2MAODV,11,20,19,3,50.000000,0.100000,0.259413,10.918232,132.278706,64.313490,37022,9604,2591500,49.969534,739.032401,0.076950,20
QS2MAODV,12,20,19,3,50.000000,0.100000,0.419183,17.642653,77.030654,41.302558,37022,15519,1784736,21.296905,730.780800,0.047089,20
QS2MAODV,13,20,19,3,50.000000,0.100000,0.392550,16.521726,119.367341,56.960217,37022,14533,1965208,25.041451,732.765927,0.050421,20
QS2MAODV,14,20,19,3,50.000000,0.100000,0.371104,15.619074,123.206398,35.859640,37022,13739,1224696,16.507428,729.536020,0.053100,20
QS2MAODV,15,20,19,3,50.000000,0.100000,0.373075,15.702063,290.433747,88.640475,37022,13812,2489950,33.384148,737.099586,0.053367,20
QS2MAODV,16,20,19,3,50.000000,0.100000,0.363568,15.301895,102.447822,52.575491,37022,13460,2118700,29.149469,729.181889,0.054174,20
QS2MAODV,17,20,19,3,50.000000,0.100000,0.257928,10.855705,278.886873,133.019075,37022,9549,3291064,63.824096,738.657782,0.077354,20
QS2MAODV,18,20,19,3,50.000000,0.100000,0.406326,17.101516,179.795832,75.233320,37022,15043,2411946,29.691994,734.175200,0.048805,20
