Protocol,Seed,nNodes,nFlows,MaxPaths,InitEnergy_J,PktInterval_s,PDR,Throughput_kbps,Delay_ms,Jitter_ms,TxPkts,RxPkts,CtrlBytes,NRL,EnergyConsumed_J,EnergyPerPkt_J,LiveNodes,SweepParam
QS2MAODV,2,20,19,3,50.000000,0.100000,0.161174,7.160400,656.130295,293.344170,37022,5967,1533536,47.593120,743.947958,0.124677,20,0.85
QS2MAODV,1,20,19,3,50.000000,0.100000,0.244611,10.295242,153.381840,72.573424,37022,9056,2046540,41.849480,743.377568,0.082087,20,0.85
QS2MAODV,3,20,19,3,50.000000,0.100000,0.266895,11.233137,324.553347,137.047665,37022,9881,3406112,63.835794,735.647127,0.074451,20,0.85
QS2MAODV,4,20,19,3,50.000000,0.100000,0.386284,16.257979,272.933286,99.808003,37022,14301,1789286,23.169657,733.375334,0.051281,20,0.85
QS2MAODV,5,20,19,3,50.000000,0.100000,0.459457,19.337684,122.324297,56.842507,37022,17010,1381394,15.039018,725.275536,0.042638,20,0.85
QS2MAODV,8,20,19,3,50.000000,0.100000,0.553590,23.299579,70.701244,27.057843,37022,20495,763918,6.902478,727.091984,0.035477,20,0.85
QS2MAODV,6,20,19,3,50.000000,0.100000,0.301658,12.696253,233.546211,106.552455,37022,11168,2836368,47.031996,735.735254,0.065879,20,0.85
QS2MAODV,7,20,19,3,50.000000,0.100000,0.240668,10.129263,361.470229,165.968383,37022,8910,2770210,57.575965,743.466667,0.083442,20,0.85
QS2MAODV,10,20,19,3,50.000000,0.100000,0.272352,11.462779,141.174307,79.624087,37022,10083,1719568,31.581724,746.360833,0.074022,20,0.85
QS2MAODV,9,20,19,3,50.000000,0.100000,0.458133,19.281979,86.380354,44.589707,37022,16961,2067162,22.569883,737.779390,0.043499,20,0.85
QS2MAODV,11,20,19,3,50.000000,0.100000,0.221193,9.309600,250.001117,111.660387,37022,8189,2474006,55.946912,743.214532,0.090758,20,0.85
QS2MAODV,13,20,19,3,50.000000,0.100000,0.335287,15.771812,260.595520,79.978491,37022,12413,2284286,34.078460,728.934606,0.058723,20,0.85
QS2MAODV,14,20,19,3,50.000000,0.100000,0.651261,27.410400,105.425142,40.417706,37022,24111,980310,7.529297,738.104599,0.030613,20,0.85
QS2MAODV,12,20,19,3,50.000000,0.100000,0.312004,13.131663,286.331575,136.219582,37022,11551,3668468,58.812737,745.102767,0.064505,20,0.85
QS2MAODV,15,20,19,3,50.000000,0.100000,0.406731,17.118568,57.729161,38.038744,37022,15058,905490,11.135830,733.176453,0.048690,20,0.85
QS2MAODV,16,20,19,3,50.000000,0.100000,0.302118,12.715579,140.205313,70.342930,37022,11185,3154608,52.229474,737.269818,0.065916,20,0.85
QS2MAODV,18,20,19,3,50.000000,0.100000,0.439036,18.478232,135.021228,63.010851,37022,16254,2625370,29.911384,744.580690,0.045809,20,0.85
QS2MAODV,17,20,19,3,50.000000,0.100000,0.320539,13.490905,294.923596,154.262506,37022,11867,3214492,50.162324,744.827903,0.062765,20,0.85
QS2MAODV,19,20,19,3,50.000000,0.100000,0.420534,18.682800,101.413987,47.168509,37022,15569,1666992,19.828006,731.871707,0.047008,20,0.85
QS2MAODV,20,20,19,3,50.000000,0.100000,0.312085,13.135074,213.956650,94.017905,37022,11554,2413026,38.675495,734.725621,0.063591,20,0.85
QS2MAODV,21,20,19,3,50.000000,0.100000,0.282454,11.887958,105.215360,57.369902,37022,10457,3313164,58.673510,737.032072,0.070482,20,0.85
QS2MAODV,22,20,19,3,50.000000,0.100000,0.165415,6.962021,413.279449,206.083724,37022,6124,3454754,104.469180,737.364315,0.120406,20,0.85
QS2MAODV,23,20,19,3,50.000000,0.100000,0.265626,11.179705,131.015645,74.527853,37022,9834,2675840,50.389051,733.212301,0.074559,20,0.85
QS2MAODV,24,20,19,3,50.000000,0.100000,0.484361,20.385853,142.131290,69.602442,37022,17932,2253370,23.270731,732.783289,0.040865,20,0.85
QS2MAODV,26,20,19,3,50.000000,0.100000,0.349468,14.708463,119.279148,65.947553,37022,12938,1790450,25.627208,746.156792,0.057672,20,0.85
QS2MAODV,25,20,19,3,50.000000,0.100000,0.338988,14.267368,190.468857,87.250930,37022,12550,2743512,40.482691,736.212795,0.058662,20,0.85
QS2MAODV,27,20,19,3,50.000000,0.100000,0.319432,13.444295,155.026233,70.656696,37022,11826,2954946,46.271962,744.196292,0.062929,20,0.85
QS2MAODV,29,20,19,3,50.000000,0.100000,0.483091,20.332421,50.839480,26.840567,37022,17885,758720,7.855952,729.857270,0.040808,20,0.85
QS2MAODV,28,20,19,3,50.000000,0.100000,0.206877,8.707074,288.311128,121.690411,37022,7659,2702274,65.337656,745.078263,0.097281,20,0.85
QS2MAODV,1,20,19,3,50.000000,0.100000,0.232348,9.779116,175.393198,81.340622,37022,8602,2187140,47.085088,743.377568,0.086419,20,0.90
QS2MAODV,30,20,19,3,50.000000,0.100000,0.345902,14.558400,259.829618,103.279676,37022,12806,2635948,38.117954,738.343239,0.057656,20,0.85
QS2MAODV,2,20,19,3,50.000000,0.100000,0.161174,7.160400,656.130295,293.344170,37022,5967,1533536,47.593120,743.947958,0.124677,20,0.90
QS2MAODV,5,20,19,3,50.000000,0.100000,0.456242,19.202400,142.606823,51.240927,37022,16891,1283646,14.073307,725.275536,0.042939,20,0.90
QS2MAODV,3,20,19,3,50.000000,0.100000,0.286775,12.069853,282.107567,133.766020,37022,10617,3020954,52.692467,735.647127,0.069290,20,0.90
QS2MAODV,4,20,19,3,50.000000,0.100000,0.319270,13.437474,339.890511,143.238791,37022,11820,2982558,46.728050,733.375334,0.062045,20,0.90
