Family,nNodes,Protocol,PDR_mean,PDR_std,Delay_mean,Delay_std,Tput_mean,NRL_mean,N_runs,PktInterval_s,InitEnergy_J,Speed_ms,w3
N,5.0,AODV,0.39,0.09,636.4,312.1,6.58,0.391,30,,,,
N,5.0,PMAODV,0.39,0.09,657.6,304.3,6.58,0.371,30,,,,
N,5.0,QMAODV,0.38,0.09,666.7,308.6,6.45,0.407,30,,,,
N,5.0,QS2MAODV,0.39,0.09,653.5,306.0,6.59,0.392,30,,,,
N,10.0,AODV,0.54,0.11,394.6,112.2,9.13,1.615,30,,,,
N,10.0,PMAODV,0.55,0.12,402.6,158.5,9.25,1.535,30,,,,
N,10.0,QMAODV,0.52,0.11,395.1,147.8,8.68,1.643,30,,,,
N,10.0,QS2MAODV,0.55,0.12,407.7,144.5,9.18,1.506,30,,,,
N,15.0,AODV,0.64,0.12,175.7,87.1,10.77,4.38,30,,,,
N,15.0,PMAODV,0.64,0.14,173.5,86.3,10.72,4.179,30,,,,
N,15.0,QMAODV,0.61,0.12,193.2,99.5,10.37,4.505,30,,,,
N,15.0,QS2MAODV,0.63,0.14,169.7,82.7,10.64,4.092,30,,,,
N,20.0,AODV,0.66,0.1,81.8,55.6,11.16,11.703,30,,,,
N,20.0,PMAODV,0.67,0.12,70.2,37.4,11.21,11.447,30,,,,
N,20.0,QMAODV,0.61,0.09,85.1,41.3,10.19,12.326,30,,,,
N,20.0,QS2MAODV,0.64,0.1,77.7,43.1,10.85,11.056,30,,,,
N,25.0,AODV,0.49,0.09,48.9,28.2,8.28,42.853,30,,,,
N,25.0,PMAODV,0.46,0.09,47.6,23.8,7.72,35.268,30,,,,
N,25.0,QMAODV,0.42,0.09,77.6,57.2,7.08,48.736,30,,,,
N,25.0,QS2MAODV,0.47,0.08,54.3,40.2,7.9,35.195,30,,,,
N,30.0,AODV,0.28,0.07,84.0,42.5,4.69,128.153,30,,,,
N,30.0,PMAODV,0.26,0.07,106.8,51.0,4.36,156.079,30,,,,
N,30.0,QMAODV,0.26,0.09,95.6,61.2,4.36,122.37,30,,,,
N,30.0,QS2MAODV,0.28,0.06,84.7,42.5,4.8,111.382,30,,,,
N,40.0,AODV,0.12,0.02,181.1,47.0,2.03,413.288,30,,,,
N,40.0,PMAODV,0.12,0.03,184.5,49.9,2.0,422.906,30,,,,
N,40.0,QMAODV,0.09,0.02,237.8,58.4,1.44,543.539,30,,,,
N,40.0,QS2MAODV,0.11,0.03,170.9,55.7,1.94,410.41,30,,,,
N,50.0,AODV,0.07,0.02,240.6,32.1,1.31,735.23,30,,,,
N,50.0,PMAODV,0.07,0.01,237.8,47.2,1.29,713.66,30,,,,
N,50.0,QMAODV,0.06,0.01,289.1,72.2,0.97,878.561,30,,,,
N,50.0,QS2MAODV,0.07,0.02,222.9,33.5,1.16,768.673,30,,,,
L,,AODV,0.71,0.1,94.0,50.3,2.96,17.8,30,1.0,,,
L,,PMAODV,0.69,0.14,89.5,52.0,2.9,17.979,30,1.0,,,
L,,QMAODV,0.67,0.13,95.1,59.7,2.81,18.446,30,1.0,,,
L,,QS2MAODV,0.66,0.1,87.9,53.7,2.76,18.978,30,1.0,,,
L,,AODV,0.69,0.11,74.3,44.3,5.81,10.254,30,0.5,,,
L,,PMAODV,0.7,0.13,84.0,49.4,5.9,10.601,30,0.5,,,
L,,QMAODV,0.66,0.13,89.9,62.2,5.57,11.319,30,0.5,,,
L,,QS2MAODV,0.7,0.09,82.0,48.4,5.86,10.525,30,0.5,,,
L,,AODV,0.66,0.1,81.8,55.6,11.16,11.703,30,0.25,,,
L,,PMAODV,0.67,0.12,70.2,37.4,11.21,11.447,30,0.25,,,
L,,QMAODV,0.61,0.09,85.1,41.3,10.19,12.326,30,0.25,,,
L,,QS2MAODV,0.64,0.1,77.7,43.1,10.85,11.056,30,0.25,,,
L,,AODV,0.36,0.04,134.6,46.8,14.99,34.853,30,0.1,,,
L,,PMAODV,0.33,0.05,175.1,52.2,14.08,42.889,30,0.1,,,
L,,QMAODV,0.29,0.04,248.7,69.6,12.41,43.521,30,0.1,,,
L,,QS2MAODV,0.33,0.06,182.7,87.7,14.12,37.704,30,0.1,,,
L,,AODV,0.21,0.03,233.2,50.8,18.0,34.518,30,0.05,,,
L,,PMAODV,0.21,0.03,247.1,42.9,17.82,35.361,30,0.05,,,
L,,QMAODV,0.18,0.03,305.8,59.2,15.6,36.248,30,0.05,,,
L,,QS2MAODV,0.2,0.03,258.9,44.5,16.94,36.346,30,0.05,,,
E2,,AODV,0.7,0.18,32.5,44.0,11.9,8.617,30,,1.0,,
E2,,PMAODV,0.69,0.19,27.5,26.8,11.78,7.059,30,,1.0,,
E2,,QMAODV,0.68,0.17,42.0,62.9,11.49,7.262,30,,1.0,,
E2,,QS2MAODV,0.72,0.2,28.9,35.9,12.21,8.337,30,,1.0,,
E2,,AODV,0.7,0.18,32.5,44.0,11.9,8.617,30,,2.0,,
E2,,PMAODV,0.69,0.19,27.5,26.8,11.78,7.059,30,,2.0,,
E2,,QMAODV,0.68,0.17,42.0,62.9,11.49,7.262,30,,2.0,,
E2,,QS2MAODV,0.72,0.2,28.9,35.9,12.21,8.337,30,,2.0,,
E2,,AODV,0.7,0.18,32.5,44.0,11.9,8.617,30,,5.0,,
E2,,PMAODV,0.69,0.19,27.5,26.8,11.78,7.059,30,,5.0,,
E2,,QMAODV,0.68,0.17,42.0,62.9,11.49,7.262,30,,5.0,,
E2,,QS2MAODV,0.72,0.2,28.9,35.9,12.21,8.337,30,,5.0,,
E2,,AODV,0.7,0.18,32.5,44.0,11.9,8.617,30,,10.0,,
E2,,PMAODV,0.69,0.19,27.5,26.8,11.78,7.059,30,,10.0,,
E2,,QMAODV,0.68,0.17,42.0,62.9,11.49,7.262,30,,10.0,,
E2,,QS2MAODV,0.72,0.2,28.9,35.9,12.21,8.337,30,,10.0,,
E2,,AODV,0.7,0.18,32.5,44.0,11.9,8.617,30,,20.0,,
E2,,PMAODV,0.69,0.19,27.5,26.8,11.78,7.059,30,,20.0,,
E2,,QMAODV,0.68,0.17,42.0,62.9,11.49,7.262,30,,20.0,,
E2,,QS2MAODV,0.72,0.2,28.9,35.9,12.21,8.337,30,,20.0,,
C,,AODV,0.76,0.19,34.4,31.9,3.21,6.968,30,1.0,,,
C,,PMAODV,0.74,0.17,34.6,26.4,3.14,6.27,30,1.0,,,
C,,QMAODV,0.77,0.17,44.3,67.2,3.26,6.475,30,1.0,,,
C,,QS2MAODV,0.76,0.18,42.8,53.5,3.19,6.056,30,1.0,,,
C,,AODV,0.64,0.13,51.7,36.4,5.41,8.465,30,0.5,,,
C,,PMAODV,0.65,0.17,52.0,33.8,5.49,8.675,30,0.5,,,
C,,QMAODV,0.67,0.17,54.1,32.9,5.66,8.767,30,0.5,,,
C,,QS2MAODV,0.66,0.16,56.0,34.2,5.59,7.986,30,0.5,,,
C,,AODV,0.67,0.11,83.6,45.4,11.31,13.667,30,0.25,,,
C,,PMAODV,0.63,0.12,73.9,38.4,10.61,14.296,30,0.25,,,
C,,QMAODV,0.58,0.12,95.1,40.1,9.7,13.886,30,0.25,,,
C,,QS2MAODV,0.61,0.14,79.0,50.6,10.27,10.899,30,0.25,,,
C,,AODV,0.32,0.04,170.2,50.5,13.64,42.616,30,0.1,,,
C,,PMAODV,0.33,0.04,168.8,59.4,13.91,39.956,30,0.1,,,
C,,QMAODV,0.27,0.03,258.8,84.1,11.41,45.055,30,0.1,,,
C,,QS2MAODV,0.32,0.03,178.8,54.1,13.46,39.265,30,0.1,,,
C,,AODV,0.2,0.02,226.1,26.5,17.25,36.74,30,0.05,,,
C,,PMAODV,0.2,0.02,239.8,31.6,16.85,37.601,30,0.05,,,
C,,QMAODV,0.17,0.02,311.2,40.0,14.41,39.25,30,0.05,,,
C,,QS2MAODV,0.19,0.02,266.9,36.8,16.01,39.006,30,0.05,,,
S,,AODV,0.7,0.18,32.5,44.0,11.9,8.617,30,,,5.0,
S,,PMAODV,0.69,0.19,27.5,26.8,11.78,7.059,30,,,5.0,
S,,QMAODV,0.68,0.17,42.0,62.9,11.49,7.262,30,,,5.0,
S,,QS2MAODV,0.72,0.2,28.9,35.9,12.21,8.337,30,,,5.0,
S,,AODV,0.63,0.15,49.5,29.7,10.7,9.778,30,,,15.0,
S,,PMAODV,0.64,0.14,44.7,24.4,10.83,8.962,30,,,15.0,
S,,QMAODV,0.61,0.14,62.9,49.7,10.35,9.291,30,,,15.0,
S,,QS2MAODV,0.65,0.15,48.9,26.2,10.96,9.127,30,,,15.0,
S,,AODV,0.67,0.11,83.6,45.4,11.31,13.667,30,,,25.0,
S,,PMAODV,0.63,0.12,73.9,38.4,10.61,14.296,30,,,25.0,
S,,QMAODV,0.58,0.12,95.1,40.1,9.7,13.886,30,,,25.0,
S,,QS2MAODV,0.61,0.14,79.0,50.6,10.27,10.899,30,,,25.0,
S,,AODV,0.6,0.12,92.6,38.2,10.17,14.743,30,,,35.0,
S,,PMAODV,0.62,0.12,90.8,49.7,10.48,15.77,30,,,35.0,
S,,QMAODV,0.53,0.1,120.9,60.0,8.94,15.6,30,,,35.0,
S,,QS2MAODV,0.6,0.13,102.9,50.1,10.18,15.223,30,,,35.0,
S,,AODV,0.6,0.1,136.3,63.2,10.09,17.551,30,,,45.0,
S,,PMAODV,0.58,0.12,120.9,49.6,9.86,16.875,30,,,45.0,
S,,QMAODV,0.5,0.08,160.7,66.3,8.52,20.256,30,,,45.0,
S,,QS2MAODV,0.59,0.1,137.0,55.2,9.98,17.958,30,,,45.0,
W,,QS2MAODV,0.34,0.06,184.6,,,38.546,30,,,,0.0
W,,QS2MAODV,0.33,0.06,187.5,,,38.431,30,,,,0.05
W,,QS2MAODV,0.33,0.06,182.7,,,37.704,30,,,,0.1
W,,QS2MAODV,0.34,0.06,175.6,,,36.841,30,,,,0.15
W,,QS2MAODV,0.33,0.06,178.0,,,37.848,30,,,,0.2
